feature,mean_sq_error,pca_loading_sum
knee_vel_max_ascent,0.08690900928723673,1.339668679183762
trunk_lean_at_end,0.07266749081246116,1.2661812544288185
knee_vel_max_descent,0.054488170361532674,0.9344434334911739
knee_flexion_range,0.04414601398151576,1.6084006563081115
trunk_lean_mean,0.03672012476401293,1.3394042363207723
trunk_lean_at_bottom,0.0286928709351786,1.6559215550006814
descent_ascent_ratio,0.028479407276531123,0.7788242706645108
knee_jerk_rms,0.028059998284509308,1.5304979660876465
knee_flexion_at_bottom,0.026635963375432205,1.9097611245401556
knee_jerk_max,0.026214487345191117,1.4965667128657034
ascent_time_s,0.017689174538345936,0.7677940167187991
descent_time_s,0.017228330128987345,0.7732278611034082
trunk_lean_max,0.013951105976079162,1.1030986374672627
trunk_lean_range,0.0065253177470259915,1.9075528340295824
normalized_jerk_cost,0.0004322936450895663,1.9674862193489182
