feature,importance,std
trunk_lean_max,0.34622497548161124,0.009590175424864178
trunk_lean_mean,0.18808220827953276,0.013386886957321039
trunk_lean_at_bottom,0.13838356306078925,0.007018870089003379
trunk_lean_range,0.10918934389991401,0.004629555385259127
knee_flexion_at_bottom,0.06143371350734679,0.0021790864816041244
trunk_lean_at_end,0.05722444264829825,0.004574941884736704
knee_flexion_range,0.04149740637791288,0.0025632289548209873
knee_vel_max_descent,0.013308770509816534,0.0013952842531073466
knee_vel_max_ascent,0.009135696446544064,0.0006752271009991209
normalized_jerk_cost,0.00911443808831639,0.0008642407600288234
knee_jerk_max,0.0066280549724358154,0.00043853966055311866
knee_jerk_rms,0.0066013990580434485,0.00031842835257258413
descent_ascent_ratio,0.004725116121682352,0.0007881542785329997
descent_time_s,0.004309486007602571,0.0012986459639137942
ascent_time_s,0.0041413855401536545,0.0005140330494728851
